participant_id,device,segment,SCR_Peaks_per_minute,SCR_Peaks_Amplitude_Mean,EDA_Sympathetic,EDA_SympatheticN,Phasic_Mean,Tonic_Mean
OITC44,Infiniti,Trial_3,3.0,0.15929734704184623,0.32876378332246614,0.017441855807237682,0.08667575355573554,7.6582877550915605
OITC45,Infiniti,Baseline,0.6,0.02758456117925371,0.11940622537545492,0.03303118672279689,0.007267932503031284,1.2576207192270545
OITC45,Infiniti,All_Trials,6.333333333333333,0.22886829951672874,0.29637844292396825,0.0533088363796811,0.17304898768885857,3.244304472975397
OITC45,Infiniti,Trial_1,4.8,0.18420303955339584,0.03399084718993007,0.05560939963245997,0.11562492840928654,2.1198530491019856
OITC45,Infiniti,Trial_2,6.6,0.21025275710898575,0.5899103392675425,0.07755880521829549,0.14972981086010465,3.4226012781334068
OITC45,Infiniti,Trial_3,7.8,0.2905496346631505,0.26555470438868445,0.026786418449519022,0.24892079819862328,4.195335826520434
OITC46,Infiniti,Baseline,1.0,0.20320498890171584,0.036740962178023216,0.018439996863879534,0.04616866904168963,5.635677238485375
OITC46,Infiniti,All_Trials,1.2666666666666666,0.1349137646714251,0.1407418286239162,0.027832126354110514,0.041613191201337586,3.386147495649239
OITC46,Infiniti,Trial_1,1.6,0.11311925252374914,0.30540237225772277,0.02807950120222375,0.031305116525141966,3.4101051952730312
OITC46,Infiniti,Trial_2,1.6,0.2147061611732811,0.08709622984839761,0.03945793868663739,0.062176491465350925,3.503913216376262
OITC46,Infiniti,Trial_3,0.8,0.08431249467621381,0.029764624370394385,0.016028714942091828,0.02687847790059939,3.2489023170434193
OITC50,Infiniti,Baseline,0.0,0.0,0.07611139176195349,0.012006957686601497,0.0026853455039740322,0.6711494825355047
OITC50,Infiniti,All_Trials,4.0,0.14562167701117582,0.4537323658740888,0.06017260143534057,0.07261227969204223,4.081357796427254
OITC50,Infiniti,Trial_1,5.6,0.1307701811222513,0.6805907825256641,0.04314919991380791,0.09347646406526706,4.0314714342216496
OITC50,Infiniti,Trial_2,2.4,0.13707409296879974,0.44903022847120677,0.07805767823974365,0.0420255094091026,3.9815911229471914
OITC50,Infiniti,Trial_3,4.0,0.15452496239715918,0.23136840517666316,0.05921202372130514,0.06610023201036874,4.247245686191673
OITC39,Empatica,Baseline,0.4,0.08630235260282487,0.24159607646142944,0.014991509036290512,0.016561754868503812,2.3176866984400464
OITC39,Empatica,All_Trials,0.0,0.0,0.005646930560040973,0.04185657814808461,0.0003857942940517393,1.2239317743141342
OITC39,Empatica,Trial_1,0.0,0.0,0.0010888587009327036,0.022214870693407746,0.00020474679761587253,1.38512985643327
OITC39,Empatica,Trial_2,0.0,0.0,0.004383041525110881,0.03405608979235527,0.00030733894692008254,1.1977738839142675
OITC39,Empatica,Trial_3,0.0,0.0,0.011468586257220647,0.06927655186040692,0.0006040397177499688,1.0889320862942866
OITC40,Empatica,Baseline,0.0,0.0,0.5233980644273087,0.08615881514300784,1.6037168868677196e-05,0.060779407849233615
OITC40,Empatica,All_Trials,0.0,0.0,0.14805746195689304,0.11037498114674466,1.8690407150595833e-05,0.10938610843020753
OITC40,Empatica,Trial_1,0.0,0.0,0.16498024887552282,0.1245146044298465,9.447307948486797e-06,0.10015329860257803
OITC40,Empatica,Trial_2,0.0,0.0,0.1745477340372935,0.08579549509715663,-1.4575019581822277e-05,0.11037520950641863
OITC40,Empatica,Trial_3,0.0,0.0,0.10484194732530518,0.12097959848491235,1.3186278296850258e-05,0.11767854444865648
OITC44,Empatica,Baseline,0.0,0.0,0.16190560555911523,0.013725554281475467,0.0016383408449085163,0.1758964406556066
OITC44,Empatica,All_Trials,0.0,0.0,0.0644635851900115,0.11248724731135891,0.0008669090671027275,0.19260429568440918
OITC44,Empatica,Trial_1,0.0,0.0,0.00859053518851123,0.10591689446939416,1.8534526687456166e-05,0.1874069674740882
OITC44,Empatica,Trial_2,0.0,0.0,0.1943470630237802,0.15874329691257727,-1.185533901658171e-06,0.1694721622604564
OITC44,Empatica,Trial_3,0.0,0.0,0.0019328610409820853,0.06983047597618869,6.317385332699351e-05,0.22356091805106293
OITC45,Empatica,Baseline,0.0,0.0,0.08382775894435268,0.13696083721634209,2.379839159811403e-05,0.026476955746815595
OITC46,Empatica,Baseline,0.0,0.0,0.5823921624129771,0.19009494973056268,1.1802248714438447e-06,0.04533821857795654
OITC46,Empatica,All_Trials,0.0,0.0,0.5945452957661339,0.13585412168455668,2.1069087405165487e-05,0.05509255112233414
OITC46,Empatica,Trial_1,0.0,0.0,0.5847889355649266,0.15002560358794578,3.1735302837092595e-05,0.05045593991971966
OITC46,Empatica,Trial_2,0.0,0.0,0.7122295791992048,0.10254391667461198,-3.837836941589923e-06,0.05526388930905978
OITC46,Empatica,Trial_3,0.0,0.0,0.4864966785821025,0.15498324911054476,1.2732337319061463e-06,0.05959007461355552
OITC50,Empatica,Baseline,0.0,0.0,0.4481589573610352,0.08552797365581534,3.1113938982817104e-05,0.07887097588331914
OITC50,Empatica,All_Trials,0.0,0.0,0.3140440532742903,0.09488134793656187,8.864991579833801e-06,0.11135110406507961
OITC50,Empatica,Trial_1,0.0,0.0,0.2753612059044046,0.07851393673736232,2.0690990601394777e-05,0.10439588751781928
OITC50,Empatica,Trial_2,0.0,0.0,0.27621196456958685,0.09500026256388315,5.376964039000165e-06,0.11137211891843886
OITC50,Empatica,Trial_3,0.0,0.0,0.39185116901818956,0.1115735619280481,-1.5780352574496966e-06,0.11828650138125509
